X33,Y33,X34,Y34,X35,Y35,X36,Y36,X37,Y37,X38,Y38,X39,Y39,X40,Y40,X41,Y41,X42,Y42,X43,Y43,X44,Y44,X45,Y45,X46,Y46,X47,Y47,X48,Y48
0.175,202904,0.175,197330,0.175,146441,0.175,217235,0.175,205216,0.175,231122,0.175,236814,0.175,232281,0.175,202529,0.175,166011,0.175,195107,0.175,236783,0.175,222093,0.175,216197,0.175,227371,0.175,219783
0.177,210204,0.177,202415,0.177,153255,0.177,217523,0.177,206231,0.177,231930,0.177,235864,0.177,233138,0.177,208849,0.177,171023,0.177,199883,0.177,239724,0.177,224388,0.177,218113,0.177,229025,0.177,222239
0.178,217014,0.178,206915,0.178,159943,0.178,216862,0.178,206393,0.178,231436,0.178,233605,0.178,232915,0.178,214353,0.178,175538,0.178,203793,0.178,241394,0.178,225508,0.178,218495,0.178,229438,0.178,223908
0.18,223232,0.18,210677,0.18,166508,0.18,215275,0.18,205425,0.18,229696,0.18,229822,0.18,231316,0.18,219311,0.18,179384,0.18,206697,0.18,241734,0.18,225554,0.18,217832,0.18,228233,0.18,224575
0.182,228517,0.182,213678,0.182,172668,0.182,212681,0.182,203574,0.182,226325,0.182,224821,0.182,228468,0.182,223275,0.182,182366,0.182,208685,0.182,240862,0.182,224674,0.182,215910,0.182,225895,0.182,224286
0.183,233037,0.183,215537,0.183,178574,0.183,208775,0.183,200669,0.183,221845,0.183,218560,0.183,224333,0.183,226720,0.183,184583,0.183,209897,0.183,238522,0.183,222643,0.183,212520,0.183,222334,0.183,222788
0.185,236341,0.185,216097,0.185,183897,0.185,203702,0.185,196596,0.185,216339,0.185,211086,0.185,218991,0.185,229002,0.185,186134,0.185,209850,0.185,234921,0.185,219665,0.185,208143,0.185,217485,0.185,220278
0.187,238521,0.187,215297,0.187,188380,0.187,197492,0.187,191505,0.187,209777,0.187,202484,0.187,212214,0.187,230180,0.187,186741,0.187,208687,0.187,230119,0.187,215512,0.187,202907,0.187,211399,0.187,216330
0.188,239543,0.188,213288,0.188,192018,0.188,189933,0.188,185515,0.188,202117,0.188,193040,0.188,204534,0.188,230033,0.188,186612,0.188,206677,0.188,224305,0.188,210289,0.188,196615,0.188,204282,0.188,211180
0.19,239409,0.19,209979,0.19,195011,0.19,181305,0.19,178315,0.19,193368,0.19,182536,0.19,195791,0.19,228692,0.19,185975,0.19,203300,0.19,217214,0.19,203579,0.19,189196,0.19,196113,0.19,204912
0.192,237823,0.192,205603,0.192,196939,0.192,171742,0.192,170456,0.192,183493,0.192,171175,0.192,186000,0.192,225850,0.192,184486,0.192,198693,0.192,209088,0.192,195569,0.192,180881,0.192,186709,0.192,197727
